name,length
Maplehurst Street,102.01
Holden Street,352.86
Holden Street,73.44200000000001
Wesleyan Terrace,108.55600000000001
Wesleyan Street,185.08700000000002
Wesleyan Street,87.261
Douglas Circle,55.046
Lake Street,95.97200000000001
Lake Street,163.655
Heywood Street,131.81300000000002
Heywood Street,336.01300000000003
Mangs Drive,184.507
School Street,129.811
Rice Street,240.98600000000002
School Street,220.098
Brentwood Drive,183.473
Brentwood Drive,218.93800000000002
Comstock Drive,286.553
Applewood Circle,85.49100000000001
Spring Street,107.288
High Street,693.4329999999999
Spring Street,496.474
Cross Street,340.624
North Street,51.748999999999995
North Street,200.168
South Street,26.511
Chestnut Street,22.996
South Street,183.666
Holden Street,294.6700000000001
Bow Street,272.30799999999994
Cherry Street,130.406
Cherry Street,186.18699999999998
Cherry Street,103.839
Bridle Path,414.42499999999995
Flanagan Drive,256.34799999999996
Francis Avenue,224.702
Francis Avenue,245.47400000000002
Grafton Circle,94.765
Grafton Circle,505.363
Memorial Drive,597.821
North Street,62.749
Lantern Lane,296.656
North Street,108.043
Lamplighter Drive,335.054
South Street,253.514
South Street,310.024
